"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Tutorial","Modelling the environment in R: from small-scale to global applications",51,"Thomas Petzoldt",2017-07-04 14:00:00,"2.01","https://user2017.sched.com/event/Aw09",8,907,121,0.42,"27"
"Tutorial","OpenML: Connecting R to the Machine Learning Platform OpenML",79,"Bernd Bischl",2017-07-04 14:00:00,"4.02","https://user2017.sched.com/event/Aw0E",8,907,121,0.65,"28"
"Tutorial","R package development with R-hub",71,"Gábor Csárdi",2017-07-04 14:00:00,"2.02","https://user2017.sched.com/event/Aw0A",8,907,121,0.59,"29"
"Tutorial","Spatial data in R: new directions",90,"Edzer Pebesma",2017-07-04 14:00:00,"4.03","https://user2017.sched.com/event/Aw0B",8,907,121,0.74,"30"
"BREAK","COFFEE BREAK",301,NA,2017-07-04 15:30:00,"CATERING POINTS","https://user2017.sched.com/event/Aw0G",1,301,966,0.31,"31"
"Tutorial","data.table for beginners",88,"Arun Srinivasan",2017-07-04 16:00:00,"3.01","https://user2017.sched.com/event/Aw0L",8,807,121,0.73,"32"
"Tutorial","Efficient R Programming",186,"Colin Gillespie",2017-07-04 16:00:00,"PLENARY","https://user2017.sched.com/event/Aw0H",8,807,121,1.54,"33"
"Tutorial","Introduction to Natural Language Processing with R",160,"Taylor Arnold",2017-07-04 16:00:00,"3.02","https://user2017.sched.com/event/Aw0M",8,807,121,1.32,"34"
"Tutorial","Introduction to optimal changepoint detection algorithms",90,"Toby Dylan Hocking",2017-07-04 16:00:00,"4.01","https://user2017.sched.com/event/Aw0O",8,807,121,0.74,"35"
"Tutorial","Modelling the environment in R: from small-scale to global applications",47,"Thomas Petzoldt",2017-07-04 16:00:00,"2.01","https://user2017.sched.com/event/Aw0I",8,807,121,0.39,"36"
"Tutorial","OpenML: Connecting R to the Machine Learning Platform OpenML",85,"Bernd Bischl",2017-07-04 16:00:00,"4.02","https://user2017.sched.com/event/Aw0N",8,807,121,0.7,"37"
"Tutorial","R package development with R-hub",71,"Gábor Csárdi",2017-07-04 16:00:00,"2.02","https://user2017.sched.com/event/Aw0J",8,807,121,0.59,"38"
"Tutorial","Spatial data in R: new directions",80,"Edzer Pebesma",2017-07-04 16:00:00,"4.03","https://user2017.sched.com/event/Aw0K",8,807,121,0.66,"39"
"Conference Event","WELCOME RECEPTION",405,NA,2017-07-04 17:30:00,"CATERING POINTS","https://user2017.sched.com/event/Aw0Q",1,405,966,0.42,"40"
"Conference Event","REGISTRATION",142,NA,2017-07-05 08:00:00,"Wild Gallery","https://user2017.sched.com/event/Axol",1,142,966,0.15,"41"
"Conference Event","WELCOME",365,NA,2017-07-05 09:00:00,"PLENARY","https://user2017.sched.com/event/Axom",1,365,966,0.38,"42"
"Sponsor talk","Sponsor Talk Microsoft",348,NA,2017-07-05 09:15:00,"PLENARY","https://user2017.sched.com/event/B9H5",1,348,966,0.36,"43"
"Invited Talk","KEYNOTE: Structural Equation Modeling: models, software and stories",602,"Yves Rosseel",2017-07-05 09:30:00,"PLENARY","https://user2017.sched.com/event/Ay00",1,602,966,0.62,"44"
"BREAK","COFFEE BREAK",372,NA,2017-07-05 10:30:00,"CATERING POINTS","https://user2017.sched.com/event/Axoo",1,372,966,0.39,"45"
"Talk","Analysis of German Fuel Prices with R",102,"Boris Vaillant",2017-07-05 11:00:00,"PLENARY","https://user2017.sched.com/event/Axop",6,879,161,0.63,"46"
"Talk","How we built a Shiny App for 700 users?",321,"Olga Mierzwa-Sulima",2017-07-05 11:00:00,"4.02","https://user2017.sched.com/event/Axor",6,879,161,1.99,"47"
"Talk","Robets: Forecasting with Robust Exponential Smoothing with Trend and Seasonality",107,"Ruben Crevits",2017-07-05 11:00:00,"2.01","https://user2017.sched.com/event/Axos",6,879,161,0.66,"48"
"Talk","Social contact data in endemic-epidemic models and probabilistic forecasting with **surveillance**",70,"Sebastian Meyer",2017-07-05 11:00:00,"3.01","https://user2017.sched.com/event/Axou",6,879,161,0.43,"49"
"Talk","Transformation Forests",174,"Torsten Hothorn",2017-07-05 11:00:00,"2.02","https://user2017.sched.com/event/Axot",6,879,161,1.08,"50"
"Talk","Updates to the Documentation System for R",105,"Andrew Redd",2017-07-05 11:00:00,"3.02","https://user2017.sched.com/event/AxsF",6,879,161,0.65,"51"
"Talk","A Benchmark of Open Source Tools for Machine Learning from R",296,"Szilard Pafka",2017-07-05 11:18:00,"2.02","https://user2017.sched.com/event/Axoz",6,832,161,1.84,"52"
